entity_id,state,last_changed
sensor.shellyplug_284772_power,0,2024-12-31T23:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-01T00:00:00.000Z
sensor.shellyplug_284772_power,5.243402532311111,2025-01-01T08:00:00.000Z
sensor.shellyplug_284772_power,575.3825281199028,2025-01-01T09:00:00.000Z
sensor.shellyplug_284772_power,193.85274059122503,2025-01-01T10:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-01T11:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-01T12:00:00.000Z
sensor.shellyplug_284772_power,357.7932888866056,2025-01-02T07:00:00.000Z
sensor.shellyplug_284772_power,350.6565319391111,2025-01-02T08:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-02T09:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-02T10:00:00.000Z
sensor.shellyplug_284772_power,224.67017655295,2025-01-03T05:00:00.000Z
sensor.shellyplug_284772_power,468.4777164467166,2025-01-03T06:00:00.000Z
sensor.shellyplug_284772_power,495.9506721059028,2025-01-03T07:00:00.000Z
sensor.shellyplug_284772_power,511.9080603548611,2025-01-03T08:00:00.000Z
sensor.shellyplug_284772_power,507.9735529341417,2025-01-03T09:00:00.000Z
sensor.shellyplug_284772_power,524.3032254407527,2025-01-03T10:00:00.000Z
sensor.shellyplug_284772_power,544.4284402648973,2025-01-03T11:00:00.000Z
sensor.shellyplug_284772_power,553.5507799655194,2025-01-03T12:00:00.000Z
sensor.shellyplug_284772_power,494.4430121382583,2025-01-03T13:00:00.000Z
sensor.shellyplug_284772_power,2.2937200484333333,2025-01-03T14:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-03T15:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-03T16:00:00.000Z
sensor.shellyplug_284772_power,351.0282311764111,2025-01-04T01:00:00.000Z
sensor.shellyplug_284772_power,497.23897629103334,2025-01-04T02:00:00.000Z
sensor.shellyplug_284772_power,527.9497527152889,2025-01-04T03:00:00.000Z
sensor.shellyplug_284772_power,211.14891743228054,2025-01-04T04:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-04T05:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-04T06:00:00.000Z
sensor.shellyplug_284772_power,314.0230774998139,2025-01-04T07:00:00.000Z
sensor.shellyplug_284772_power,526.6528623646583,2025-01-04T08:00:00.000Z
sensor.shellyplug_284772_power,552.1467791853361,2025-01-04T09:00:00.000Z
sensor.shellyplug_284772_power,560.4079732094639,2025-01-04T10:00:00.000Z
sensor.shellyplug_284772_power,74.80463576619444,2025-01-04T11:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-04T12:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-04T13:00:00.000Z
sensor.shellyplug_284772_power,212.081735538875,2025-01-05T07:00:00.000Z
sensor.shellyplug_284772_power,492.0516929951445,2025-01-05T08:00:00.000Z
sensor.shellyplug_284772_power,522.7069044553194,2025-01-05T09:00:00.000Z
sensor.shellyplug_284772_power,537.1560645735111,2025-01-05T10:00:00.000Z
sensor.shellyplug_284772_power,45.49611208551111,2025-01-05T11:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-05T12:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-05T13:00:00.000Z
sensor.shellyplug_284772_power,321.0782564350472,2025-01-05T20:00:00.000Z
sensor.shellyplug_284772_power,457.91957773228614,2025-01-05T21:00:00.000Z
sensor.shellyplug_284772_power,477.199507753575,2025-01-05T22:00:00.000Z
sensor.shellyplug_284772_power,481.35879529699446,2025-01-05T23:00:00.000Z
sensor.shellyplug_284772_power,507.38824416736946,2025-01-06T00:00:00.000Z
sensor.shellyplug_284772_power,524.2047585534111,2025-01-06T01:00:00.000Z
sensor.shellyplug_284772_power,538.0967505264306,2025-01-06T02:00:00.000Z
sensor.shellyplug_284772_power,240.7117838101361,2025-01-06T03:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-06T04:00:00.000Z
sensor.shellyplug_284772_power,0,2025-01-06T05:00:00.000Z
sensor.shellyplug_284772_power,483.1082502056667,2025-01-06T11:00:00.000Z
sensor.shellyplug_284772_power,532.6796141204583,2025-01-06T12:00:00.000Z
