entity_id,state,last_changed
sensor.easyweatherpro_v5_0_2_outdoor_temperature,3.6202643597777775,2025-01-03T10:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,3.9340024308055557,2025-01-03T11:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,4.189691725555556,2025-01-03T12:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,3.7425744254166666,2025-01-03T13:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,2.9184589076944447,2025-01-03T14:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.7826754843611111,2025-01-03T15:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.5907640370555558,2025-01-03T16:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.6301016375,2025-01-03T17:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.4856234160555553,2025-01-03T18:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.6459921732500002,2025-01-03T19:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-4.427489356055555,2025-01-03T20:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-5.116454615166667,2025-01-03T21:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-5.584888579527778,2025-01-03T22:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-6.1753840908888895,2025-01-03T23:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-6.691247071416666,2025-01-04T00:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-6.846404941194444,2025-01-04T01:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-7.718920048416667,2025-01-04T02:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-7.925768709777778,2025-01-04T03:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-8.130891951444445,2025-01-04T04:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-8.397019168305556,2025-01-04T05:00:00.000Z
